Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
0815051M,2003-08-15 00:00:00,2003-05-10 00:00:00,OAK,Metropolitan Oakland International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,800.0,Denied,0.0,Deny,97.0,800.0
0314011L,2003-03-14 00:00:00,2003-02-25 00:00:00,BOS,Boston (Logan) International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,98.0,Approved,98.0,Approve in Full,17.0,0.0
2007110834724,2007-11-06 00:00:00,2007-10-22 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,59.0,Approved,59.0,Approve in Full,15.0,0.0
2006022702201,2006-02-22 00:00:00,2006-01-04 00:00:00,IAD,Washington Dulles International,USAir,Passenger Property Loss,Checked Baggage,Other,58.51,Denied,0.0,Deny,49.0,58.51
2006042004844,2006-04-11 00:00:00,2006-04-05 00:00:00,HNL,Honolulu International Airport,UAL,Passenger Property Loss,Checked Baggage,Other,54.0,Approved,54.0,Approve in Full,6.0,0.0
2006020200852,2006-01-27 00:00:00,2005-12-30 00:00:00,BTR,Baton Rouge Metropolitan,American Airlines,Passenger Property Loss,Checked Baggage,Other,49.98,Denied,0.0,Deny,28.0,49.98
2009010553997,2008-12-22 00:00:00,2009-09-17 00:00:00,KOA,Kona International,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),70.0,Denied,0.0,Deny,-269.0,70.0
2009052759490,2009-05-21 00:00:00,2009-03-30 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,50.0,Settled,25.0,Settle,52.0,25.0
2008112852867,2008-11-24 00:00:00,2008-04-26 00:00:00,SAN,San Diego International,Delta Air Lines,Property Damage,Checked Baggage,Medical Equipment & Insturments,304.23,Denied,0.0,Deny,212.0,304.23
2004051752543,2004-04-16 00:00:00,2004-03-15 00:00:00,SWF,Stewart  Field,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Approved,75.0,Approve in Full,32.0,0.0
2004072359929,2004-06-29 00:00:00,2004-05-14 00:00:00,IND,Indianapolis International,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),60.0,Settled,50.0,Settle,46.0,10.0
2007112035226,2007-11-15 00:00:00,2007-11-12 00:00:00,GSP,Greenville-Spartanburg,Continental Airlines,Passenger Property Loss,Checkpoint,Cameras - Digital,650.0,Denied,0.0,Deny,3.0,650.0
2006070709155,2006-07-06 00:00:00,2006-04-27 00:00:00,SAT,San Antonio International,Frontier Airlines,Property Damage,Checked Baggage,Other,256.24,Denied,0.0,Deny,70.0,256.24
2008090849647,2008-09-04 00:00:00,2008-08-13 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,25.0,Denied,0.0,Deny,22.0,25.0
2009011554575,2009-01-09 00:00:00,2009-01-05 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Passenger Property Loss,Checkpoint,MP3 Players-(iPods; etc),241.33,Denied,0.0,Deny,4.0,241.33
0318147L,2003-03-18 00:00:00,2003-01-07 00:00:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,158.0,Settled,53.0,Settle,70.0,105.0
2005121597882,2005-12-08 00:00:00,2005-11-24 00:00:00,PHX,Phoenix Sky Harbor International,USAir,Property Damage,Checkpoint,Cameras - Digital,171.0,Denied,0.0,Deny,14.0,171.0
2006070609055,2006-07-05 00:00:00,2006-06-17 00:00:00,GGG,Gregg County - Longview; TX,American Airlines,Passenger Property Loss,Checked Baggage,Firearms,375.0,Denied,0.0,Deny,18.0,375.0
2004081261255,2004-07-20 00:00:00,2004-07-13 00:00:00,HOU,William P. Hobby,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),150.0,Approved,150.0,Approve in Full,7.0,0.0
