Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
1117285M,2003-11-17 00:00:00,2003-10-04 00:00:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),140.0,Settled,20.0,Settle,44.0,120.0
2006051106049,2006-05-09 00:00:00,2006-02-20 00:00:00,LGA,LaGuardia,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Settled,50.0,Settle,78.0,100.0
2006071809668,2006-07-14 00:00:00,2006-06-27 00:00:00,OMA,Eppley Airfield,Delta Air Lines,Property Damage,Checked Baggage,Locks; Luggage (all types including footlockers),130.0,Settled,50.0,Settle,17.0,80.0
2009062460579,2009-06-23 00:00:00,2009-06-15 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,UAL,Passenger Property Loss,Checkpoint,Other,59.0,Approved,59.0,Approve in Full,8.0,0.0
2009032056561,2009-03-04 00:00:00,2009-01-16 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,69.95,Approved,69.95,Approve in Full,47.0,0.0
2007020220108,2007-01-23 00:00:00,2006-12-21 00:00:00,MDW,Midway International Airport,Southwest Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Electrical and Gas Appliances Minor - $200 or less (humidifiers; tv's; etc),101.66,Denied,0.0,Deny,33.0,101.66
0612050L,2003-06-12 00:00:00,2003-06-03 00:00:00,LGA,LaGuardia,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,25.0,Approved,25.0,Approve in Full,9.0,0.0
2005120196759,2005-11-18 00:00:00,2005-09-28 00:00:00,BUF,Buffalo Niagara International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,101.65,Approved,101.65,Approve in Full,51.0,0.0
2008102751565,2008-10-23 00:00:00,2008-09-25 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Continental Airlines,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,300.0,Denied,0.0,Deny,28.0,300.0
2004122971508,2004-11-23 00:00:00,2004-07-24 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Currency,373.15,Denied,0.0,Deny,122.0,373.15
2006031603201,2006-03-07 00:00:00,2006-02-10 00:00:00,EVV,Evansville Regional Airport,Northwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),29.99,Approved,29.99,Approve in Full,25.0,0.0
0401065L,2003-04-01 00:00:00,2003-02-15 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Denied,0.0,Deny,45.0,50.0
2004072359955,2004-06-29 00:00:00,2004-06-24 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Property Damage,Checked Baggage,Locks,10.55,Denied,0.0,Deny,5.0,10.55
2007062727555,2007-06-25 00:00:00,2006-10-11 00:00:00,IAD,Washington Dulles International,Lufthansa,Property Damage,Checked Baggage,Books - Other (Hardcover non-fiction),45.0,Denied,0.0,Deny,257.0,45.0
2005052385305,2005-05-20 00:00:00,2005-05-07 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Jet Blue,Passenger Property Loss,Checked Baggage,Other,179.98,Settled,161.98,Settle,13.0,18.0
2009101964524,2009-10-14 00:00:00,2009-03-17 00:00:00,IAD,Washington Dulles International,Southwest Airlines,Passenger Property Loss,Checked Baggage,MP3 Players-(iPods; etc); Other,80.68,Denied,0.0,Deny,211.0,80.68
2006021301460,2006-02-07 00:00:00,2006-01-19 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,160.0,Approved,160.0,Approve in Full,19.0,0.0
2005011173474,2004-12-22 00:00:00,2004-11-22 00:00:00,PDX,Portland International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,30.0,Approved,25.0,Approve in Full,30.0,5.0
2009061760307,2009-06-11 00:00:00,2009-05-31 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checkpoint,Watches - Inexpensive $100 or less,45.0,Denied,0.0,Deny,11.0,45.0
2009082062792,2009-09-18 00:00:00,2009-08-01 00:00:00,GTF,Great Falls International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Denied,0.0,Deny,48.0,250.0
2007030521912,2007-03-02 00:00:00,2007-02-22 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Tools - Manual (not in a vehicle),532.24,Denied,0.0,Deny,8.0,532.24
2005091692589,2005-09-06 00:00:00,2005-06-27 00:00:00,IND,Indianapolis International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),149.99,Approved,149.99,Approve in Full,71.0,0.0
0423024L,2003-04-23 00:00:00,2003-04-03 00:00:00,PBI,Palm Beach International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),179.0,Denied,0.0,Deny,20.0,179.0
1217083M,2003-12-17 00:00:00,2003-01-24 00:00:00,MIA,Miami International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,511.88,Denied,0.0,Deny,327.0,511.88
2009080762411,2009-08-06 00:00:00,2009-06-30 00:00:00,SJC,Norman Y Mineta San Jose International,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers); Other,223.87,Approved,223.87,Approve in Full,37.0,0.0
2005070588183,2005-06-27 00:00:00,2005-01-18 00:00:00,ABQ,Albuquerque International Sunport Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Denied,0.0,Deny,160.0,100.0
2006071009181,2006-07-07 00:00:00,2006-06-14 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,75.69,Settled,39.84,Settle,23.0,35.849999999999994
2005110795701,2005-10-27 00:00:00,2005-10-06 00:00:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),80.0,Denied,0.0,Deny,21.0,80.0
2005041382447,2005-04-12 00:00:00,2005-04-07 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checkpoint,Currency,100.0,Approved,100.0,Approve in Full,5.0,0.0
2007062627498,2007-06-21 00:00:00,2007-06-17 00:00:00,EYW,Key West International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,537.0,Denied,0.0,Deny,4.0,537.0
0219572M,2004-02-19 00:00:00,2004-02-01 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,1000.0,Settled,427.0,Settle,18.0,573.0
2007101133260,2007-10-04 00:00:00,2007-09-08 00:00:00,ONT,Ontario International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,386.44,Denied,0.0,Deny,26.0,386.44
2005120897353,2005-11-22 00:00:00,2005-10-16 00:00:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Fine,248.0,Denied,0.0,Deny,37.0,248.0
2007080329583,2007-08-02 00:00:00,2007-07-15 00:00:00,MCO,Orlando International Airport,Spirit Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,265.0,Denied,0.0,Deny,18.0,265.0
2006092613252,2006-09-22 00:00:00,2006-09-11 00:00:00,SAT,San Antonio International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),124.0,Denied,0.0,Deny,11.0,124.0
2007121036250,2007-12-06 00:00:00,2007-09-09 00:00:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),179.99,Denied,0.0,Deny,88.0,179.99
2004060254358,2004-04-23 00:00:00,2004-04-18 00:00:00,DEN,Denver International Airport,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Settled,75.0,Settle,5.0,75.0
2008092550417,2008-09-22 00:00:00,2008-08-07 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,828.0,Denied,0.0,Deny,46.0,828.0
2005081790708,2005-08-05 00:00:00,2005-06-05 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,39.28,Approved,39.28,Approve in Full,61.0,0.0
2005042183016,2005-04-19 00:00:00,2005-03-11 00:00:00,MHT,Manchester Regional Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,54.5,Denied,0.0,Deny,39.0,54.5
2009081162491,2009-08-10 00:00:00,2009-06-12 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checkpoint,Watches - Expensive more than $100,736.7,Approved,736.7,Approve in Full,59.0,0.0
2008040341801,2008-03-23 00:00:00,2008-02-25 00:00:00,PDX,Portland International,Horizon Air,Passenger Property Loss,Checked Baggage,Other,25.0,Denied,0.0,Deny,27.0,25.0
2008031741151,2008-03-10 00:00:00,2008-01-30 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; Cameras - Non-electronic (Camera supplies; lenses; projectors; etc.); Other,244.48,Denied,0.0,Deny,40.0,244.48
2008052144632,2008-05-20 00:00:00,2008-05-07 00:00:00,PHX,Phoenix Sky Harbor International,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,193.14,Approved,193.14,Approve in Full,13.0,0.0
2007111434948,2007-11-13 00:00:00,2007-10-25 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Locks; Luggage (all types including footlockers),70.0,Settled,54.76,Settle,19.0,15.240000000000002
2008021439685,2008-02-08 00:00:00,2008-02-03 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers); Other,96.0,Settled,39.95,Settle,5.0,56.05
2008110351689,2008-10-24 00:00:00,2008-10-19 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,391.41,Denied,0.0,Deny,5.0,391.41
2007032022613,2007-03-16 00:00:00,2007-03-01 00:00:00,IAD,Washington Dulles International,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Computer - Laptop,1299.0,Settled,655.43,Settle,15.0,643.57
2004111667086,2004-09-29 00:00:00,2004-09-10 00:00:00,SAN,San Diego International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),118.36,Approved,118.36,Approve in Full,19.0,0.0
0725052M,2003-07-25 00:00:00,2003-07-09 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,America West,Passenger Property Loss,Checked Baggage,Other,76.31,Approved,76.31,Approve in Full,16.0,0.0
2007052325879,2007-05-21 00:00:00,2007-04-11 00:00:00,LAS,McCarran International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,11.31,Approved,11.31,Approve in Full,40.0,0.0
0127060L,2003-01-27 00:00:00,2003-01-09 00:00:00,MSY,New Orleans International,American Airlines,Property Damage,Checkpoint,Computer - Laptop,2469.0,Settled,1710.04,Settle,18.0,758.96
1009092M,2003-10-09 00:00:00,2003-09-27 00:00:00,BHM,Birmingham International Airport,UAL,Property Damage,Checked Baggage,Other,82.0,Approved,82.0,Approve in Full,12.0,0.0
2004101965131,2004-09-20 00:00:00,2004-07-07 00:00:00,SJU,Luis Munoz Marin International,American Airlines,Passenger Property Loss,Checked Baggage,Other,129.98,Approved,129.98,Approve in Full,75.0,0.0
2005050484059,2005-05-03 00:00:00,2005-04-14 00:00:00,MYR,Myrtle Beach International,Continental Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,1147.0,Settled,717.25,Settle,19.0,429.75
2005042183085,2005-04-19 00:00:00,2005-04-02 00:00:00,DEN,Denver International Airport,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,50.0,Denied,0.0,Deny,17.0,50.0
2004051752372,2004-05-03 00:00:00,2004-03-25 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Property Damage,Checked Baggage,Other,89.99,Approved,89.99,Approve in Full,39.0,0.0
2004062156579,2004-05-27 00:00:00,2004-04-19 00:00:00,BOS,Boston (Logan) International Airport,Jet Blue,Property Damage,Checked Baggage,Luggage (all types including footlockers),171.62,Settled,85.81,Settle,38.0,85.81
2009071661338,2009-07-10 00:00:00,2009-07-04 00:00:00,CLE,Cleveland Hopkins International,Northwest Airlines,Passenger Property Loss,Checked Baggage,Firearms,618.0,Denied,0.0,Deny,6.0,618.0
2005062787333,2005-06-16 00:00:00,2005-06-09 00:00:00,OMA,Eppley Airfield,American Eagle,Passenger Property Loss,Checked Baggage,Jewelry - Fine,700.0,Denied,0.0,Deny,7.0,700.0
2007111935145,2007-11-13 00:00:00,2007-10-31 00:00:00,JFK,John F. Kennedy International,ATA Aerocondor,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers); Other,469.0,Denied,0.0,Deny,13.0,469.0
2004122170289,2004-11-15 00:00:00,2004-09-02 00:00:00,LEX,Blue Grass ;Lexington,UAL,Property Damage,Checked Baggage,Other,70.0,Approved,70.0,Approve in Full,74.0,0.0
2006092112987,2006-09-18 00:00:00,2006-08-15 00:00:00,RSW,Southwest Florida International,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,19.06,Approved,19.06,Approve in Full,34.0,0.0
2004100464331,2004-09-09 00:00:00,2001-09-01 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,30.0,Approved,30.0,Approve in Full,1104.0,0.0
2008110652061,2008-11-05 00:00:00,2008-09-19 00:00:00,SMF,Sacramento International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,60.0,Denied,0.0,Deny,47.0,60.0
2008051944455,2008-05-15 00:00:00,2008-05-11 00:00:00,GPT,Gulfport-Biloxi International,American Airlines,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,125.0,Denied,0.0,Deny,4.0,125.0
2005071388809,2005-07-13 00:00:00,2005-06-30 00:00:00,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines,Property Damage,Checked Baggage,Other,104.75,Denied,0.0,Deny,13.0,104.75
2007011118664,2007-01-08 00:00:00,2007-01-03 00:00:00,F,Foreign airport,Westjet Airlines Ltd,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; MP3 Players-(iPods; etc),508.99,Denied,0.0,Deny,5.0,508.99
2004060254312,2004-04-21 00:00:00,2004-03-30 00:00:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checked Baggage,Luggage (all types including footlockers),350.0,Settled,175.0,Settle,22.0,175.0
2006091812764,2006-09-11 00:00:00,2006-09-01 00:00:00,GEG,Spokane International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Cell Phones,124.99,Denied,0.0,Deny,10.0,124.99
2006122017507,2006-12-09 00:00:00,2006-11-28 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Dishes; Pottery; Glassware; Plasticware,23.76,Approved,23.76,Approve in Full,11.0,0.0
2004103065928,2004-09-23 00:00:00,2004-08-08 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,19.99,Approved,19.99,Approve in Full,46.0,0.0
2006101213907,2006-10-06 00:00:00,2006-09-20 00:00:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,72.22,Denied,0.0,Deny,16.0,72.22
2006120716826,2006-11-30 00:00:00,2006-11-06 00:00:00,SMF,Sacramento International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,150.0,Denied,0.0,Deny,24.0,150.0
2005010673072,2004-12-20 00:00:00,2004-12-11 00:00:00,DEN,Denver International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,40.47,Denied,0.0,Deny,9.0,40.47
2006062908717,2005-11-03 00:00:00,2005-10-31 00:00:00,TPA,Tampa International,American Airlines,Passenger Property Loss,Checked Baggage,Tools - Power (including air tools; not in a vehicle),106.99,Approved,106.99,Approve in Full,3.0,0.0
2008061045477,2008-06-05 00:00:00,2008-04-06 00:00:00,TPA,Tampa International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Handbags & Purses (leather or fabric); Other,255.33,Denied,0.0,Deny,60.0,255.33
2006101213947,2006-10-05 00:00:00,2006-09-24 00:00:00,OKC,Will Rogers World,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,820.0,Denied,0.0,Deny,11.0,820.0
2005013174895,2005-01-14 00:00:00,2004-12-09 00:00:00,MCO,Orlando International Airport,Jet Blue,Property Damage,Checked Baggage,Luggage (all types including footlockers),30.0,Approved,30.0,Approve in Full,36.0,0.0
2004052553388,2004-04-20 00:00:00,2003-10-13 00:00:00,SAN,San Diego International,China Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),95.0,Settled,50.0,Settle,190.0,45.0
2007010418297,2006-12-20 00:00:00,2006-11-04 00:00:00,AGS,Bush Field,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,69.0,Approved,69.0,Approve in Full,46.0,0.0
2007112735559,2007-11-20 00:00:00,2007-11-14 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,GPS - Global Positioning System,374.99,Denied,0.0,Deny,6.0,374.99
2007113035761,2007-11-28 00:00:00,2007-11-19 00:00:00,SLC,Salt Lake City International Airport,Skywest Airlines Inc USA,Passenger Property Loss,Checked Baggage,Tools - Power (including air tools; not in a vehicle),645.25,Denied,0.0,Deny,9.0,645.25
2006062608523,2006-06-23 00:00:00,2006-06-09 00:00:00,LAS,McCarran International,Allegiant Air,Property Damage,Checked Baggage,Other,21.47,Denied,0.0,Deny,14.0,21.47
2008082248998,2008-08-20 00:00:00,2008-08-16 00:00:00,BUR,Bob Hope,Horizon Air,Property Damage,Checkpoint,Knick Knacks (bric-a-bracks),175.0,Approved,175.0,Approve in Full,4.0,0.0
2004071659534,2004-07-06 00:00:00,2004-06-13 00:00:00,PIT,Pittsburgh International Airport,American Airlines,Employee Loss (MPCECA),Checked Baggage,Other,32.63,Settled,16.32,Settle,23.0,16.310000000000002
1016151M,2003-10-16 00:00:00,2003-10-07 00:00:00,TPA,Tampa International,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Fine,345.66,Approved,345.66,Approve in Full,9.0,0.0
2009093064157,2009-09-24 00:00:00,2009-09-10 00:00:00,LIT,Little Rock National,Delta Air Lines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,30.0,Denied,0.0,Deny,14.0,30.0
2005072189365,2005-07-20 00:00:00,2005-05-11 00:00:00,LAX,Los Angeles International Airport,UAL,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,120.0,Approved,120.0,Approve in Full,70.0,0.0
2007071928670,2007-07-16 00:00:00,2007-06-19 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),349.96,Approved,349.96,Approve in Full,27.0,0.0
2004092964198,2004-08-23 00:00:00,2004-08-08 00:00:00,EWR,Newark International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,176.45,Approved,176.45,Approve in Full,15.0,0.0
0415033L,2003-04-15 00:00:00,2003-03-31 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),415.0,Denied,0.0,Deny,15.0,415.0
2004071459365,2004-06-29 00:00:00,2004-05-31 00:00:00,SAN,San Diego International,America West,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Settled,50.0,Settle,29.0,50.0
0610237L,2003-06-10 00:00:00,2003-05-10 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),45.47,Approved,45.47,Approve in Full,31.0,0.0
2005040181156,2005-03-29 00:00:00,2004-12-27 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),43.23,Approved,43.23,Approve in Full,92.0,0.0
2005081190387,2005-08-02 00:00:00,2005-07-03 00:00:00,LAS,McCarran International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,169.0,Denied,0.0,Deny,30.0,169.0
0804055M,2003-08-04 00:00:00,2003-07-18 00:00:00,MCO,Orlando International Airport,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,628.91,Approved,628.91,Approve in Full,17.0,0.0
2006102614594,2006-10-19 00:00:00,2006-09-28 00:00:00,OMA,Eppley Airfield,Northwest Airlines,Passenger Property Loss,Checked Baggage,Barber Supplies - Scissors; shears; elecric razors; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,60.23,Approved,60.23,Approve in Full,21.0,0.0
2005120296865,2005-11-18 00:00:00,2005-11-03 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,175.0,Denied,0.0,Deny,15.0,175.0
0211124L,2003-02-11 00:00:00,2003-01-19 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,215.97,Settled,86.0,Settle,23.0,129.97
2004080360499,2004-07-13 00:00:00,2004-05-07 00:00:00,ROC,Greater Rochester International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,324.73,Approved,324.73,Approve in Full,67.0,0.0
2007060626401,2007-06-04 00:00:00,2007-05-13 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital; GPS - Global Positioning System,672.16,Denied,0.0,Deny,22.0,672.16
2005070688388,2005-07-05 00:00:00,2005-06-15 00:00:00,BNA,Nashville International,Northwest Airlines,Passenger Property Loss,Checkpoint,Computer - Laptop,2011.5,Settled,1319.0,Settle,20.0,692.5
2005091492518,2005-09-06 00:00:00,2005-08-23 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,1150.48,Settled,481.82,Settle,14.0,668.6600000000001
2007061126678,2007-06-07 00:00:00,2007-05-30 00:00:00,F,Foreign airport,American Airlines,Passenger Property Loss,Checkpoint,Scissors; Shears (other than electric),14.95,Denied,0.0,Deny,8.0,14.95
2005072189367,2005-07-20 00:00:00,2005-06-21 00:00:00,HOU,William P. Hobby,ATA Aerocondor,Passenger Property Loss,Checked Baggage,Other,175.5,Denied,0.0,Deny,29.0,175.5
2005031678478,2005-02-24 00:00:00,2005-02-10 00:00:00,SNA,John Wayne,America West,Passenger Property Loss,Checked Baggage,Other,80.14,Approved,80.14,Approve in Full,14.0,0.0
2006031002907,2006-03-07 00:00:00,2006-02-13 00:00:00,HNL,Honolulu International Airport,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Other,40.84,Settled,20.42,Settle,22.0,20.42
2009083163179,2009-08-31 00:00:00,2009-08-06 00:00:00,DFW,Dallas-Fort Worth International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cameras - Digital,499.99,Denied,0.0,Deny,25.0,499.99
2009110365078,2009-10-26 00:00:00,2009-09-29 11:30:00,CLT,Charlotte/Douglas International Airport,USAir,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,173.25,Denied,0.0,Deny,26.0,173.25
2008011638014,2008-01-08 00:00:00,2007-11-17 00:00:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),445.0,Approved,445.0,Approve in Full,52.0,0.0
2005032879983,2005-03-09 00:00:00,2005-02-13 00:00:00,CHS,Charleston International,USAir,Property Damage,Checkpoint,Clothing - Shoes; belts; accessories; etc.,35.0,Approved,35.0,Approve in Full,24.0,0.0
2006092713408,2006-09-26 00:00:00,2006-08-30 00:00:00,MSN,Dane County Regional (Madison),UAL,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.; Other,105.65,Denied,0.0,Deny,27.0,105.65
2005030777023,2005-02-01 00:00:00,2005-01-11 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),139.0,Settled,50.0,Settle,21.0,89.0
2009031156049,2009-02-09 00:00:00,2009-01-06 00:00:00,MOB,Mobile Regional,American Eagle,Passenger Property Loss,Checkpoint,Currency,100.0,Denied,0.0,Deny,34.0,100.0
2004052153038,2004-04-15 00:00:00,2004-03-11 00:00:00,CLT,Charlotte/Douglas International Airport,USAir,Property Damage,Checked Baggage,Locks,434.5,Denied,0.0,Deny,35.0,434.5
2009012854997,2009-01-13 00:00:00,2008-12-30 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Bags - Fabric; plastic; etc. (not purses),150.48,Denied,0.0,Deny,14.0,150.48
2006090812179,2006-09-05 00:00:00,2006-08-08 00:00:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),419.96,Approved,419.96,Approve in Full,28.0,0.0
2005012674473,2005-01-07 00:00:00,2004-11-25 00:00:00,DFW,Dallas-Fort Worth International Airport,America West,Passenger Property Loss,Checked Baggage,Locks,11.85,Denied,0.0,Deny,43.0,11.85
2005032880095,2005-03-15 00:00:00,2005-02-26 00:00:00,ORD,Chicago O'Hare International Airport,Spirit Airlines,Property Damage,Checked Baggage,Fish/Game,338.0,Settled,304.2,Settle,17.0,33.80000000000001
0221049L,2003-02-21 00:00:00,2003-01-22 00:00:00,BOS,Boston (Logan) International Airport,Alaska Airlines,Passenger Property Loss,Checked Baggage,Other,610.46,Denied,0.0,Deny,30.0,610.46
0612078L,2003-06-12 00:00:00,2003-02-21 00:00:00,MIA,Miami International Airport,UAL,Passenger Property Loss,Checked Baggage,Jewelry - Fine,225.0,Settled,50.0,Settle,111.0,175.0
2004122170067,2004-11-12 00:00:00,2004-11-02 00:00:00,PBI,Palm Beach International,Delta (Song),Property Damage,Checked Baggage,DVD/CD Players,573.0,Denied,0.0,Deny,10.0,573.0
2008031441023,2008-03-03 00:00:00,2008-02-01 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,20.0,Denied,0.0,Deny,31.0,20.0
2008073047720,2008-07-23 00:00:00,2008-06-24 00:00:00,DCA,Ronald Reagan Washington National Airport,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),200.0,Settled,40.0,Settle,29.0,160.0
2007021621086,2007-02-12 00:00:00,2007-02-04 00:00:00,FLL,Ft. Lauderdale-Hollywood International,Air Tran Airlines(do not use),Passenger Property Loss,Checkpoint,Cameras - Digital,970.92,Settled,658.23,Settle,8.0,312.68999999999994
2005030977423,2005-02-07 00:00:00,2005-01-15 00:00:00,ELP,El Paso International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,23.0,0.0
